id,name,size.bytecode,size.static
24,__wasm_call_ctors,8,864
25,undefined_weak:__wasilibc_find_relpath_alloc,4,504
26,_start,69,984
27,__SIG_IGN,3,512
28,__SIG_ERR,5,504
29,signal,105,576
30,init,20,840
31,__clock,82,936
32,adler32_z,1003,1880
33,adler32,16,808
34,crc32_z,1896,2008
35,crc32,15,808
36,deflateInit_,26,848
37,deflateInit2_,684,2336
38,deflateEnd,341,1488
39,deflateReset,204,1240
40,deflateResetKeep,296,1256
41,fill_window,1216,2528
42,deflate,4397,9056
43,flush_pending,150,1088
44,deflate_stored,1843,4064
45,deflate_huff,921,2560
46,deflate_rle,1485,3104
47,deflateBound,465,1008
48,deflate_fast,1641,3672
49,longest_match,551,1272
50,deflate_slow,2128,4648
51,inflate_fast,2417,6136
52,inflateReset,215,856
53,inflateReset2,425,1560
54,inflateInit_,225,1280
55,inflate,9936,16592
56,updatewindow,298,1464
57,inflateEnd,143,1128
58,inflateSync,789,1464
59,inflate_table,2128,3128
60,_tr_init,109,976
61,init_block,621,2208
62,_tr_stored_block,466,1360
63,_tr_flush_bits,182,712
64,_tr_align,432,944
65,_tr_flush_block,2760,4432
66,build_tree,2827,3656
67,compress_block,1202,1744
68,send_tree,1532,1952
69,zcalloc,14,824
70,zcfree,12,824
71,compress2,251,1400
72,compress,251,1368
73,uncompress2,358,1464
74,uncompress,62,912
75,x264_reduce_fraction,290,672
76,x264_reduce_fraction64,406,696
77,x264_log_default,299,1336
78,x264_log_internal,113,920
79,x264_malloc,568,1192
80,x264_free,138,888
81,x264_slurp_file,1015,1696
82,x264_param_strdup,778,1416
83,x264_param_cleanup,315,1144
84,x264_picture_init,143,960
85,x264_param_default,3579,3440
86,x264_param_default_preset,350,1136
87,param_apply_preset,2432,2968
88,param_apply_tune,2856,3384
89,x264_param_apply_fastfirstpass,292,696
90,x264_param_apply_profile,1943,2120
91,profile_string_to_int,372,1464
92,x264_param_parse,26768,29264
93,atobool_internal,336,1336
94,atoi_internal,228,1024
95,atof_internal,230,1016
96,parse_enum,383,1136
97,parse_cqm,568,1368
98,x264_param2string,10024,8568
99,x264_cpu_detect,12,520
100,x264_cpu_num_processors,13,520
101,x264_encoder_open_164,927,1608
102,x264_encoder_close,128,1008
103,x264_encoder_reconfig,133,960
104,x264_encoder_headers,149,976
105,x264_encoder_encode,180,1024
106,x264_encoder_delayed_frames,116,936
107,x264_encoder_maximum_delayed_frames,117,936
108,x264_8_nal_encode,1045,1624
109,x264_8_bitstream_init,102,576
110,nal_escape_c,647,792
111,x264_8_log,339,1024
112,x264_8_cqm_init,18759,8688
113,x264_8_cqm_delete,2300,2272
114,x264_8_cqm_parse_file,1218,2328
115,cqm_parse_jmlist,1326,2128
116,x264_8_sei_write,626,1680
117,bs_realign,395,656
118,bs_write,570,752
119,bs_rbsp_trailing,129,992
120,bs_flush,309,632
121,bs_write1,372,664
122,x264_8_sps_init,9395,4264
123,x264_8_sps_init_reconfigurable,602,888
124,x264_8_sps_init_scaling_list,1472,1912
125,transpose,456,760
126,x264_8_sps_write,4823,7608
